3826693 DEBUG [2019-06-30 09:27:04]  DispatcherServlet with name 'dispatcherServlet' processing POST request for [/organization/company/companyListPage]
3826693 DEBUG [2019-06-30 09:27:04]  Looking up handler method for path /organization/company/companyListPage
3826693 DEBUG [2019-06-30 09:27:04]  Returning handler method [public java.util.Map<java.lang.String, java.lang.Object> com.ehr.controller.organization.company.CompanyController.companyListPage(java.lang.Integer,java.lang.Integer)]
3826693 DEBUG [2019-06-30 09:27:04]  Returning cached instance of singleton bean 'companyController'
3826693 DEBUG [2019-06-30 09:27:04]  Skip CORS processing: request is from same origin
3826694 DEBUG [2019-06-30 09:27:04]  Fetching JDBC Connection from DataSource
3826696 DEBUG [2019-06-30 09:27:04]  Fetching JDBC Connection from DataSource
3826699 DEBUG [2019-06-30 09:27:04]  Written [{code=0, data=PageInfo{pageNum=3, pageSize=10, size=4, startRow=21, endRow=24, total=24, pages=3, list=Page{count=true, pageNum=3, pageSize=10, startRow=20, endRow=30, total=24, pages=3, reasonable=false, pageSizeZero=false}[Company{id=21, name='21', address='1', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=22, name='22', address='1', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=23, name='23', address='1', mark='11', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=3356, name='宇宙无敌小霸王', address='32', mark='777', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}], prePage=2, nextPage=0, isFirstPage=false, isLastPage=true, hasPreviousPage=true, hasNextPage=false, navigatePages=8, navigateFirstPage=1, navigateLastPage=3, navigatepageNums=[1, 2, 3]}, count=PageInfo{pageNum=3, pageSize=10, size=4, startRow=21, endRow=24, total=24, pages=3, list=Page{count=true, pageNum=3, pageSize=10, startRow=20, endRow=30, total=24, pages=3, reasonable=false, pageSizeZero=false}[Company{id=21, name='21', address='1', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=22, name='22', address='1', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=23, name='23', address='1', mark='11', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=3356, name='宇宙无敌小霸王', address='32', mark='777', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}], prePage=2, nextPage=0, isFirstPage=false, isLastPage=true, hasPreviousPage=true, hasNextPage=false, navigatePages=8, navigateFirstPage=1, navigateLastPage=3, navigatepageNums=[1, 2, 3]}}] as "application/json" using [org.springframework.http.converter.json.MappingJackson2HttpMessageConverter@6c9f8b46]
3826700 DEBUG [2019-06-30 09:27:04]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
3826700 DEBUG [2019-06-30 09:27:04]  Successfully completed request
